bacteria	EX_cpd15311_e0	EX_cpd22448_e0	EX_cpd00276_e0	EX_cpd00635_e0	EX_cpd00393_e0	EX_cpd00063_e0	EX_cpd00009_e0	EX_cpd01017_e0	EX_cpd00048_e0	EX_cpd00492_e0	EX_cpd00060_e0	EX_cpd00210_e0	EX_cpd00067_e0	EX_cpd00117_e0	EX_cpd00065_e0	EX_cpd15560_e0	EX_cpd00107_e0	EX_cpd00018_e0	EX_cpd11574_e0	EX_cpd00179_e0	EX_cpd00016_e0	EX_cpd00119_e0	EX_cpd00443_e0	EX_cpd00122_e0	EX_cpd00188_e0	EX_cpd22518_e0	EX_cpd00185_e0	EX_cpd00027_e0	EX_cpd00158_e0	EX_cpd00656_e0	EX_cpd00092_e0	EX_cpd00156_e0	EX_cpd00254_e0	EX_cpd03396_e0	EX_cpd00215_e0	EX_cpd00039_e0	EX_cpd00794_e0	EX_cpd00557_e0	EX_cpd00396_e0	EX_cpd15500_e0	EX_cpd00263_e0	EX_cpd27402_e0	EX_cpd27519_e0	EX_cpd00355_e0	EX_cpd01080_e0	EX_cpd03850_e0	EX_cpd11851_e0	EX_cpd00166_e0	EX_cpd00118_e0	EX_cpd00106_e0	EX_cpd01914_e0	EX_cpd29253_e0	EX_cpd00644_e0	EX_cpd00264_e0	EX_cpd00220_e0	EX_cpd00314_e0	EX_cpd00129_e0	EX_cpd00160_e0	EX_cpd00007_e0	EX_cpd00208_e0	EX_cpd00138_e0	EX_cpd00133_e0	EX_cpd00099_e0	EX_cpd00033_e0	EX_cpd11658_e0	EX_cpd11752_e0	EX_cpd00265_e0	EX_cpd11640_e0	EX_cpd00069_e0	EX_cpd00971_e0	EX_cpd00305_e0	EX_cpd00277_e0	EX_cpd15237_e0	EX_cpd00041_e0	EX_cpd00098_e0	EX_cpd00307_e0	EX_cpd11735_e0	EX_cpd00116_e0	EX_cpd00180_e0	EX_cpd00076_e0	EX_cpd00064_e0	EX_cpd00209_e0	EX_cpd03847_e0	EX_cpd00161_e0	EX_cpd22387_e0	EX_cpd00508_e0	EX_cpd11657_e0	EX_cpd00214_e0	EX_cpd00322_e0	EX_cpd00132_e0	EX_cpd00128_e0	EX_cpd00438_e0	EX_cpd28193_e0	EX_cpd00051_e0	EX_cpd00075_e0	EX_cpd00066_e0	EX_cpd00137_e0	EX_cpd01741_e0	EX_cpd00309_e0	EX_cpd00054_e0	EX_cpd01188_e0	EX_cpd10515_e0	EX_cpd00084_e0	EX_cpd00184_e0	EX_cpd05565_e0	EX_cpd00159_e0	EX_cpd01242_e0	EX_cpd00207_e0	EX_cpd00023_e0	EX_cpd15352_e0	EX_cpd00149_e0	EX_cpd00121_e0	EX_cpd00111_e0	EX_cpd00182_e0	EX_cpd00100_e0	EX_cpd28101_e0	EX_cpd00359_e0	EX_cpd03849_e0	EX_cpd00053_e0	EX_cpd00239_e0	EX_cpd00516_e0	EX_cpd00105_e0	EX_cpd11955_e0	EX_cpd00419_e0	EX_cpd15269_e0	EX_cpd11688_e0	EX_cpd00222_e0	EX_cpd11606_e0	EX_cpd00232_e0	EX_cpd00154_e0	EX_cpd00094_e0	EX_cpd00047_e0	EX_cpd00029_e0	EX_cpd00042_e0	EX_cpd27835_e0	EX_cpd00104_e0	EX_cpd00382_e0	EX_cpd03846_e0	EX_cpd22386_e0	EX_cpd00001_e0	EX_cpd00030_e0	EX_cpd00751_e0	EX_cpd00108_e0	EX_cpd01122_e0	EX_cpd00035_e0	EX_cpd03725_e0	EX_cpd00036_e0	EX_cpd00226_e0	EX_cpd12115_e0	EX_cpd00205_e0	EX_cpd00224_e0	EX_cpd00055_e0	EX_cpd00186_e0	EX_cpd01727_e0	EX_cpd00216_e0	EX_cpd00136_e0	EX_cpd11748_e0	EX_cpd00080_e0	EX_cpd00654_e0	EX_cpd00218_e0	EX_cpd11732_e0	EX_cpd00249_e0	EX_cpd10516_e0	EX_cpd03198_e0	EX_cpd00082_e0	
Bacteroides_26	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	
Bacteroides_27	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	
Campylobacter_18	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
Campylobacter_19	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	
Bacteroides_22	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	
Bacteroides_23	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	
Erythrobacter_0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	
Tatumella_0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	
Coprobacillus_4	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
Coprobacillus_2	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	
Coprobacillus_3	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	
Coprobacillus_0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	
Coprobacillus_1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
Dysgonomonas_0	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	
Methanobrevibacter_0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	
Methanobrevibacter_1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	
Flavobacterium_1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	
Flavobacterium_0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Hafnia_0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	
Enterococcus_38	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	
Enterococcus_39	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	
Enterococcus_32	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Enterococcus_33	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Enterococcus_30	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	
Enterococcus_31	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	
Enterococcus_36	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	
Enterococcus_37	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	
Enterococcus_34	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	
Enterococcus_35	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	
Yersinia_7	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	
Yersinia_6	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
Yersinia_5	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	
Yersinia_4	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	
Yersinia_3	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	
Yersinia_2	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	
